date,game_id,matchup,pick,model_prob,odds,opp_odds,implied_prob,novig_prob,edge,stake,book,placed_at,result,profit
2026-02-07,0022500748,HOU @ OKC,OKC,0.7468,-185,,0.6491,,0.0977,10.0000,,,L,-10.0000
2026-02-07,0022500756,CLE @ SAC,CLE,0.7201,-650,,0.8667,,-0.1465,10.0000,,,W,1.5385
2026-02-07,0022500749,DAL @ SAS,SAS,0.6517,-410,,0.8039,,-0.1523,10.0000,,,W,2.4390
2026-02-07,0022500747,WAS @ BKN,WAS,0.6393,190,,0.3448,,0.2944,10.0000,,,L,-10.0000
2026-02-08,0022500759,IND @ TOR,TOR,0.6379,-395,,0.7980,,-0.1601,100.0000,,,W,25.3165
2026-02-08,0022500760,LAC @ MIN,MIN,0.6145,-360,,0.7826,,-0.1681,100.0000,,,L,-100.0000
2026-02-09,0022500763,UTA @ MIA,MIA,0.7649,-298,,0.7487,,0.0161,10.0000,,,L,-10.0000
2026-02-09,0022500762,CHI @ BKN,CHI,0.7070,-175,,0.6364,,0.0706,10.0000,,,L,-10.0000
2026-02-09,0022500766,SAC @ NOP,NOP,0.6872,-310,,0.7561,,-0.0689,10.0000,,,W,3.2258
2026-02-09,0022500761,DET @ CHA,CHA,0.6619,130,,0.4348,,0.2271,30.0000,,,L,-30.0000
2026-02-09,0022500768,MEM @ GSW,GSW,0.6517,-325,,0.7647,,-0.1130,10.0000,,,W,3.0769
2026-02-11,0022500775,ATL @ CHA,CHA,0.6845,-198,,0.6644,,0.0201,30.0000,,,W,15.1515
2026-02-11,0022500779,IND @ BKN,IND,0.6710,160,,0.3846,,0.2864,10.0000,,,W,16.0000
2026-02-11,0022500780,NYK @ PHI,NYK,0.6002,114,,0.4673,,0.1329,100.0000,,,W,114.0000
